athlete_id,date,edad,sexo,estatura_cm,peso_kg,horas_entrenamiento_semanal,intensidad_entrenamiento,tipo_disciplina,antecedentes_lesiones_previas,tiempo_desde_ultima_lesion_dias,fatiga_autoreportada,sueno_horas,dolor_actual,flexibilidad,fuerza_muscular,estabilidad_equilibrio,riesgo_lesion
1,2023-04-13,12,1,146.5,55.8,8.2,2,0,0,9999,2.0,7.3,1.0,3,2,3,0
1,2023-04-20,12,1,146.5,55.8,3.2,3,0,1,43,5.0,7.3,1.0,3,3,3,0
1,2023-04-27,12,1,146.5,55.8,6.3,4,0,1,722,2.0,8.9,0.0,3,3,4,0
1,2023-05-04,12,1,146.5,55.8,10.4,3,0,0,9999,3.0,9.0,1.0,5,3,2,0
1,2023-05-11,12,1,146.5,55.8,9.3,5,0,1,813,1.0,8.9,0.0,1,3,3,1
1,2023-05-18,12,1,146.5,55.8,6.4,3,0,0,9999,5.0,7.5,1.0,2,3,4,0
1,2023-05-25,12,1,146.5,55.8,13.1,3,1,1,490,5.0,8.3,1.0,5,1,3,0
1,2023-06-01,12,1,146.5,55.8,13.7,4,0,1,131,5.0,8.1,1.0,3,3,5,0
1,2023-06-08,12,1,146.5,55.8,8.1,5,0,0,9999,1.0,7.0,5.0,3,4,3,1
1,2023-06-15,12,1,146.5,55.8,1.0,3,0,0,9999,4.0,7.0,4.0,1,1,1,0
1,2023-06-22,12,1,146.5,55.8,10.7,2,0,1,38,1.0,8.5,4.0,2,3,3,1
1,2023-06-29,12,1,146.5,55.8,1.1,3,1,0,9999,4.0,8.2,4.0,1,4,1,0
1,2023-07-06,12,1,146.5,55.8,12.4,3,0,1,367,4.0,8.6,4.0,1,4,3,0
1,2023-07-13,12,1,146.5,55.8,11.3,5,0,0,9999,4.0,8.9,1.0,3,1,2,0
1,2023-07-20,12,1,146.5,55.8,13.3,3,2,0,9999,4.0,9.6,1.0,4,3,3,0
1,2023-07-27,12,1,146.5,55.8,8.8,1,2,0,9999,3.0,7.1,2.0,4,4,4,0
1,2023-08-03,12,1,146.5,55.8,6.9,5,0,1,113,1.0,8.7,1.0,2,3,1,1
1,2023-08-10,12,1,146.5,55.8,6.6,4,0,0,9999,4.0,8.8,0.0,2,3,3,0
1,2023-08-17,12,1,146.5,55.8,6.4,2,0,0,9999,4.0,7.7,2.0,3,2,1,0
1,2023-08-24,12,1,146.5,55.8,10.9,5,0,0,9999,2.0,8.1,0.0,1,3,4,0
2,2023-12-15,15,1,152.8,52.8,10.1,3,0,1,650,1.0,7.7,1.0,4,3,5,0
2,2023-12-22,15,1,152.8,52.8,8.4,3,1,0,9999,6.0,10.3,0.0,3,2,3,0
2,2023-12-29,15,1,152.8,52.8,5.8,5,0,0,9999,5.0,8.1,1.0,5,3,4,0
2,2024-01-05,15,1,152.8,52.8,15.9,3,2,0,9999,5.0,8.5,2.0,1,3,3,0
2,2024-01-12,15,1,152.8,52.8,10.7,2,0,1,113,2.0,7.7,1.0,1,2,3,0
2,2024-01-19,15,1,152.8,52.8,3.2,3,0,0,9999,1.0,7.5,0.0,2,3,2,0
2,2024-01-26,15,1,152.8,52.8,6.5,4,1,0,9999,5.0,6.6,0.0,2,4,4,0
2,2024-02-02,15,1,152.8,52.8,10.8,2,0,0,9999,4.0,9.2,2.0,3,2,3,0
2,2024-02-09,15,1,152.8,52.8,5.6,3,0,0,9999,3.0,8.8,0.0,5,3,5,0
2,2024-02-16,15,1,152.8,52.8,9.1,3,0,0,9999,5.0,7.7,2.0,1,2,5,0
2,2024-02-23,15,1,152.8,52.8,10.9,3,0,0,9999,5.0,7.0,1.0,2,2,2,0
2,2024-03-01,15,1,152.8,52.8,1.0,3,0,1,472,4.0,8.2,1.0,2,5,3,0
2,2024-03-08,15,1,152.8,52.8,7.7,4,0,0,9999,4.0,7.5,2.0,3,3,3,0
2,2024-03-15,15,1,152.8,52.8,7.8,3,0,0,9999,4.0,7.8,0.0,3,2,4,0
2,2024-03-22,15,1,152.8,52.8,6.8,3,0,0,9999,5.0,6.6,2.0,3,3,3,0
2,2024-03-29,15,1,152.8,52.8,8.9,2,2,1,537,2.0,8.2,0.0,3,2,3,0
2,2024-04-05,15,1,152.8,52.8,10.0,3,0,0,9999,4.0,8.3,6.0,3,4,3,0
2,2024-04-12,15,1,152.8,52.8,8.4,4,0,0,9999,2.0,9.2,0.0,3,2,3,0
2,2024-04-19,15,1,152.8,52.8,6.9,3,2,0,9999,6.0,7.8,1.0,4,4,5,0
2,2024-04-26,15,1,152.8,52.8,9.9,3,1,0,9999,4.0,7.6,1.0,2,2,1,0
3,2023-09-28,19,1,161.8,56.7,8.1,3,0,1,839,2.0,6.3,0.0,1,3,1,0
3,2023-10-05,19,1,161.8,56.7,7.3,3,0,0,9999,4.0,9.2,3.0,2,5,3,0
3,2023-10-12,19,1,161.8,56.7,4.1,2,1,0,9999,2.0,9.0,0.0,1,2,2,0
3,2023-10-19,19,1,161.8,56.7,3.3,4,0,0,9999,6.0,8.0,0.0,2,1,3,0
3,2023-10-26,19,1,161.8,56.7,4.0,2,1,0,9999,6.0,6.5,2.0,2,3,1,0
3,2023-11-02,19,1,161.8,56.7,8.8,4,2,0,9999,5.0,6.7,0.0,1,2,3,0
3,2023-11-09,19,1,161.8,56.7,7.8,3,0,0,9999,6.0,7.4,1.0,4,4,2,0
3,2023-11-16,19,1,161.8,56.7,3.6,3,0,0,9999,4.0,9.1,2.0,3,3,2,0
3,2023-11-23,19,1,161.8,56.7,9.9,2,1,0,9999,5.0,8.3,1.0,2,3,3,0
3,2023-11-30,19,1,161.8,56.7,12.1,4,0,0,9999,5.0,6.4,1.0,4,4,4,0
3,2023-12-07,19,1,161.8,56.7,6.2,2,0,1,274,3.0,8.4,6.0,3,2,3,0
3,2023-12-14,19,1,161.8,56.7,2.8,2,0,0,9999,4.0,7.1,0.0,2,5,2,0
3,2023-12-21,19,1,161.8,56.7,5.9,3,1,0,9999,5.0,7.4,0.0,5,3,3,0
3,2023-12-28,19,1,161.8,56.7,10.6,4,0,0,9999,4.0,9.1,0.0,2,4,5,0
3,2024-01-04,19,1,161.8,56.7,9.6,1,2,0,9999,2.0,8.8,4.0,4,2,3,0
3,2024-01-11,19,1,161.8,56.7,5.2,1,1,1,520,1.0,9.2,0.0,5,4,3,0
3,2024-01-18,19,1,161.8,56.7,12.6,4,0,0,9999,3.0,8.0,2.0,3,1,5,0
3,2024-01-25,19,1,161.8,56.7,12.0,4,1,1,279,1.0,9.0,0.0,3,2,2,0
3,2024-02-01,19,1,161.8,56.7,5.8,2,0,0,9999,2.0,7.4,2.0,5,1,4,0
3,2024-02-08,19,1,161.8,56.7,5.8,3,1,0,9999,2.0,7.7,1.0,2,3,2,0
4,2023-04-17,14,1,154.3,62.0,6.2,3,0,0,9999,3.0,7.6,2.0,2,3,4,0
4,2023-04-24,14,1,154.3,62.0,6.5,3,0,0,9999,5.0,8.0,4.0,3,3,1,0
4,2023-05-01,14,1,154.3,62.0,10.9,4,1,0,9999,5.0,6.6,2.0,4,5,5,0
4,2023-05-08,14,1,154.3,62.0,9.3,1,0,1,479,4.0,7.8,0.0,3,2,4,0
4,2023-05-15,14,1,154.3,62.0,10.6,4,1,0,9999,4.0,9.6,2.0,5,4,2,0
4,2023-05-22,14,1,154.3,62.0,10.0,3,1,1,763,4.0,6.8,6.0,2,3,4,0
4,2023-05-29,14,1,154.3,62.0,13.1,3,0,0,9999,1.0,6.5,2.0,4,3,5,0
4,2023-06-05,14,1,154.3,62.0,4.8,3,0,0,9999,4.0,6.6,1.0,5,2,2,0
4,2023-06-12,14,1,154.3,62.0,9.1,5,2,0,9999,1.0,10.9,0.0,3,3,5,0
4,2023-06-19,14,1,154.3,62.0,1.5,1,0,0,9999,4.0,8.5,3.0,5,3,3,0
4,2023-06-26,14,1,154.3,62.0,4.0,1,1,1,205,1.0,7.7,3.0,2,4,1,0
4,2023-07-03,14,1,154.3,62.0,7.8,2,1,0,9999,3.0,8.1,2.0,5,5,2,0
4,2023-07-10,14,1,154.3,62.0,9.3,5,2,1,843,4.0,8.3,1.0,5,2,4,1
4,2023-07-17,14,1,154.3,62.0,7.7,4,1,0,9999,2.0,7.3,6.0,1,2,5,0
4,2023-07-24,14,1,154.3,62.0,6.3,3,0,1,232,5.0,7.4,3.0,3,3,4,0
4,2023-07-31,14,1,154.3,62.0,6.8,1,2,0,9999,4.0,7.8,3.0,3,3,3,0
4,2023-08-07,14,1,154.3,62.0,12.1,4,1,0,9999,4.0,7.2,1.0,1,3,5,0
4,2023-08-14,14,1,154.3,62.0,6.8,4,1,0,9999,5.0,7.6,1.0,1,5,3,0
4,2023-08-21,14,1,154.3,62.0,13.2,3,0,0,9999,3.0,8.4,2.0,1,4,2,0
4,2023-08-28,14,1,154.3,62.0,10.4,3,0,0,9999,4.0,6.9,1.0,3,5,3,0
5,2023-03-13,13,1,165.5,66.8,9.4,1,1,0,9999,4.0,10.9,1.0,3,3,5,0
5,2023-03-20,13,1,165.5,66.8,4.4,3,0,0,9999,3.0,8.8,2.0,5,3,3,0
5,2023-03-27,13,1,165.5,66.8,10.8,4,0,0,9999,2.0,6.6,0.0,2,3,3,0
5,2023-04-03,13,1,165.5,66.8,6.5,1,0,1,694,2.0,5.3,2.0,3,3,3,0
5,2023-04-10,13,1,165.5,66.8,4.4,3,0,0,9999,3.0,7.2,1.0,1,4,3,0
5,2023-04-17,13,1,165.5,66.8,9.5,2,0,1,435,3.0,8.8,3.0,3,4,1,0
5,2023-04-24,13,1,165.5,66.8,3.8,4,0,0,9999,2.0,8.5,0.0,5,3,2,0
5,2023-05-01,13,1,165.5,66.8,5.7,3,0,0,9999,5.0,7.9,0.0,2,2,1,0
5,2023-05-08,13,1,165.5,66.8,8.0,2,1,0,9999,2.0,7.3,1.0,2,3,2,0
